0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-17529.412,1458.3464,1028.3656,5462.3306,4625.3745,1352.1971,112.05903,210.17972,-306.7396,-159.23248,-96.05952,819.9196,11.03562,-87.431015,47.706005,-550.7587,418.5676,-441.34476,820.6405,375.97455,408.69922,4.0712767,40.276028,399.19806,-88.757225,855.3918,-224.5356,-17.796185,-115.71107,-504.14963,106.22617,-41.7559,186.51727,-70.84909,319.12677,472.23975,-118.9044,-180.11252,52.06609,-295.9908,116.69924,286.52914,-666.54895,27.684654,413.92914,54.65835,70.496704,-76.56113,-236.39842,131.88463
29794.418,1300.2234,-327.45587,-568.464,-165.38646,59.22091,-291.3384,-14.903111,-135.29602,363.633,-409.64307,90.45168,22.988651,416.98972,283.83218,-612.955,-376.5688,-31.274237,296.3148,222.61868,112.94228,239.6123,284.03357,131.07959,42.003014,-388.22876,-94.19476,152.49829,116.716545,-100.74673,-10.166428,-76.68178,271.64575,38.268257,-28.877548,-34.161606,-181.874,-18.005362,7.4211807,14.136902,85.72552,58.246017,-136.29585,194.52954,58.305054,92.391335,-152.62004,-23.537212,238.65839,-137.8281
-17836.615,-8.737123,420.17194,-251.80554,-24.64369,-273.27966,-34.767902,-56.149155,9.842607,-149.25009,-68.28245,-102.826485,72.86784,-42.698303,62.401573,181.0307,-15.706269,39.398106,129.25195,0.82911277,16.298557,157.9413,-34.640728,-20.924576,-82.794754,48.629272,-88.75589,35.686783,13.160009,80.91622,-7.2678347,-104.965996,-7.010951,99.19089,26.244596,41.15916,-59.031593,-27.992178,102.14021,79.20227,84.65949,78.97823,24.930256,-64.28567,30.264736,-16.038269,18.965406,31.344193,-8.647765,-32.749344
-11699.857,-456.79828,-381.5293,-75.965935,-443.75198,84.59146,-67.40764,293.54633,89.34131,-295.25076,235.92598,-67.50183,-190.9279,131.01033,33.517,88.297874,36.568638,18.787691,33.13061,-14.24314,-80.9178,33.59987,-40.006104,31.552553,-23.222252,51.968967,30.864527,-50.997444,39.656937,-87.9476,101.89715,-10.6031,-55.026764,-78.62265,61.05916,23.438705,42.06796,-19.641415,-58.26034,52.000008,-44.094246,132.75092,39.8604,-105.55731,-29.636143,42.879078,-40.72917,35.215225,-37.6226,-26.474115
-14107.274,364.17227,108.117165,-398.18503,-177.19827,144.98242,48.227745,-146.3315,-49.880543,-79.15964,124.128944,6.347031,-111.15699,6.576439,-94.10929,-125.951385,155.25081,-1.204847,-10.128329,-30.832952,-0.8173526,5.539035,-94.56305,105.2858,-46.10652,-78.742775,-42.329838,28.287905,-50.085606,11.243264,-92.61413,-97.42709,-50.97755,-68.92352,5.140749,-9.8311825,-57.403362,-100.96011,6.6829185,-78.907326,23.204882,46.910248,71.8779,-47.081074,-60.6091,-77.3543,92.58075,64.62132,-36.27625,-17.938969
17249.7,-2591.9966,1008.5725,-21.085665,182.89726,314.42413,158.23979,-173.49635,-74.93262,215.00761,319.36835,225.61887,-28.230171,-355.69894,128.97781,-2.3874576,270.42764,467.35193,59.045334,54.651814,-53.336033,106.932304,4.8786407,113.11271,31.578726,60.009594,127.782104,-68.91435,-371.17923,-244.58598,135.67099,18.944925,160.70862,51.433704,64.3664,63.775314,44.567883,-37.845234,-158.53806,13.193469,-77.881935,-45.732506,-78.7315,20.233458,-92.6391,107.83985,279.01913,-52.549664,-104.2899,-105.33812
-7267.4443,3854.0457,117.29454,-1461.8383,585.77747,264.3627,848.99866,157.59755,91.53007,154.04114,489.88748,-315.6786,-270.14676,-114.54969,273.4437,-90.64522,108.23556,107.08126,62.19773,-105.47366,-139.60114,-332.36243,227.64656,43.08458,-155.01839,-119.06362,-37.968124,27.084753,203.43352,-94.73247,-123.458336,72.90304,84.30115,75.324776,-120.2914,260.68985,90.341095,-3.0178564,-12.746906,-68.711525,205.1089,64.264694,-177.09396,-95.84587,-132.19214,-13.582363,147.53476,-160.83469,-91.56177,128.57663
11974.395,5111.845,-2390.038,-865.06226,476.20175,-273.59,-7.1106577,108.8646,58.64268,344.46274,-177.77466,88.79638,5.243701,66.684586,365.94272,-182.92085,-159.33907,237.43613,-35.666504,-10.346769,45.731556,-292.0259,118.33865,353.60635,-419.67874,42.714836,-293.0065,5.980989,-352.36932,-252.5306,-120.32543,48.0227,58.847393,-75.48995,-95.187096,8.309121,-185.05449,-305.8508,-67.05542,35.978577,-362.16534,-21.3374,41.989124,71.2301,-36.446102,-277.74637,120.085205,484.108,389.32507,-250.39684
-8306.391,-1481.5297,630.2328,-105.83346,-335.67926,77.72778,-61.041393,-105.2882,-154.86287,106.87056,7.306552,-85.11172,-32.75999,115.824974,78.1912,24.588697,104.3446,41.82755,-61.778038,-266.3329,-46.25957,-107.10286,-48.810055,-32.78311,89.946556,-15.026161,171.38109,101.15489,-57.754044,1.0345076,-16.860867,-24.36368,-76.344826,-47.29552,82.05668,98.96314,18.296198,-23.428684,-33.58979,-13.282894,-27.838337,-20.819305,-55.065933,84.83874,-82.19651,22.448832,-37.004337,-23.263058,105.24696,65.031944
51628.234,4339.4663,185.93364,-849.39404,120.31801,-1057.1859,-1162.9845,1456.9138,644.2244,-91.8714,-567.1899,-10.053478,179.5088,635.0557,6.004176,-676.50385,-529.8748,385.00085,316.9395,879.38873,650.2759,120.91755,136.51955,-250.67123,-15.989243,-428.8127,206.15852,40.542988,-143.71594,183.59537,76.55446,-243.47313,-97.201645,181.6381,65.10931,208.2311,235.06325,976.96967,-219.6305,-403.3899,-124.86991,-296.5798,73.97625,80.01372,-99.961525,183.12433,251.43652,150.99704,-329.95877,-274.68243
