0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11.618358,-9.687217,1.1696973,2.8929682,9.9969845,2.7269704,-3.804419,-5.016554,1.8398839,-1.6532165,1.8214463,6.284241,-9.8138,2.2789104,-0.6859865,-5.783976,-4.288651,-0.91626775,5.2218328,-4.2856145,9.865283,-1.547393,0.15578371,-2.200364,6.9613914,15.171191,4.842192,2.6709514,1.5404873,4.6072755,-2.990236,-2.4767852,-3.8821936,1.7537707,-5.502847,-5.6260233,-6.603826,-5.411078,3.9876535,-0.5975426,5.1790333,-1.3683407,7.540564,-2.2138765,-2.9122488,2.7836428,8.604194,-0.80710745,-4.4952064,6.6028233
12.053309,18.621944,-10.643417,-6.988752,-4.155635,-2.1684446,-11.39477,-0.28808,-0.37322193,-4.1071553,5.44628,11.620948,-5.643682,1.0289456,0.51960814,-5.8187647,-19.566132,-0.5512113,3.7138758,10.557498,-0.5320414,3.007036,7.7213244,8.213015,-4.927086,4.950475,3.396884,9.732664,-2.7530801,4.8879423,-4.9389873,7.6818137,-6.935865,-8.194806,5.0790224,-2.3831074,-9.162252,-7.4490943,4.2951,1.5740471,-1.5391289,14.265761,-1.1743002,11.039334,-8.769446,3.4015346,-2.2436554,0.70441204,-4.074046,2.6275275
0.414211,-5.5366373,-10.213585,-2.7646065,-7.568801,-3.7309213,-2.3670156,-7.069185,-4.807351,-3.5365536,-6.925324,-2.877561,-0.96629614,-13.230519,2.972848,-7.005789,-2.7748773,7.4103875,1.2941353,-2.607318,-10.871989,-2.804437,5.100063,18.525024,-7.210226,-2.29038,6.369483,4.116569,-1.5781202,-2.381233,-5.937252,-0.102842934,5.3705406,2.148567,7.140735,-4.90032,-5.257166,7.501159,2.1978288,5.760675,-0.2832516,0.21257627,-1.2616713,-2.4394102,-2.0424664,-4.585988,3.7838287,7.6691113,8.05755,-7.7392354
-68.028984,-2.7276454,-12.77435,-13.492611,25.44743,12.304289,6.8116436,2.1164854,-5.723222,2.8880796,1.4911876,0.5549269,2.8274605,-0.2964394,4.688818,0.38325936,-0.68015623,1.891859,1.5040593,-0.36662513,-0.7517071,0.41150737,-4.8214726,-0.91810316,0.9064597,0.9341253,1.3595523,0.19408064,-1.9401968,1.7442167,-3.2317803,-3.3914397,0.66244525,2.2195225,0.16170995,3.3928628,-0.11673703,-0.42974135,0.17625764,-1.7641325,0.23566745,-0.15092036,-1.2559292,-0.41067135,0.06615317,-0.69953394,-1.4175153,3.4492764,1.2271523,0.49983174
12.916853,-5.800703,5.1374784,-0.4550031,3.5005932,2.2018337,-6.498136,-6.395087,-1.860854,2.03898,-2.5307026,11.186836,1.4967169,6.5361643,-2.454547,6.0486584,2.5291283,-6.4998274,-4.555673,1.5165735,-22.986063,-7.857338,1.1612828,2.064436,-5.809374,-3.8507357,5.57615,-0.29425743,-4.876121,-8.604911,-5.1866274,9.933502,-3.1020787,5.2937303,-4.4561133,5.456424,-9.417285,-4.975569,-2.4494796,-6.650058,7.9856896,-0.9760628,10.637211,-1.125367,7.7193484,14.701387,4.9471498,4.542097,1.9594061,-2.4697044
13.293349,-8.654154,-8.176544,-0.20720677,-5.153446,-6.8037705,8.769906,13.688145,-0.9211565,-1.7011623,-5.115711,-12.776467,-8.291435,3.7346005,5.486941,-1.3102505,-0.36065271,-4.2946973,1.096872,-0.11552765,0.044365592,16.896357,-0.13523184,-2.011825,4.0644636,7.1665115,-3.0503643,2.845135,9.32419,1.8452421,-2.4688628,4.355928,8.069117,0.23357682,-14.865967,3.4785795,2.8483207,8.234279,-1.2198248,-3.6497593,-6.4106655,-0.21698724,2.6504526,-4.978536,-3.7204218,0.1882781,-0.5639226,-7.1223354,-0.84044516,-1.5906411
12.447092,12.17669,1.8339294,-1.431717,4.5133753,-3.0346217,-5.3350167,-8.289883,3.620132,-10.052492,-0.060131654,7.375392,4.976541,7.9728637,-4.037791,3.0847888,-0.21754663,5.1945925,-9.792288,-12.446539,3.9591641,0.3809578,16.894293,-4.8438387,7.6007924,0.72450256,1.3546445,-3.544003,3.1418478,1.8056467,9.652191,-8.772029,-12.3528385,5.86853,-16.910358,8.426836,-8.814803,9.398742,-9.0718155,-11.48879,-3.9820523,0.09594062,2.756433,-7.025906,-3.338904,4.349509,-1.2027738,-5.196268,9.810896,-0.6530093
0.9233972,-10.203188,-1.057542,0.72107977,-14.311498,12.108024,8.75064,-3.8007743,-12.545975,0.83018833,-5.8319407,1.8765588,12.57927,-1.0963928,0.16091423,2.6301813,-5.2317,-11.16244,7.378836,-4.859669,-5.5538864,9.386435,-2.9747882,3.7412887,0.13413529,-1.0926733,-8.297919,2.4041195,-0.36131573,-0.9610077,-9.30283,2.5543706,-9.284268,-1.1830819,-0.6185862,-2.0653498,0.44322744,-7.1720667,4.2293787,18.874634,0.1940301,-7.4221807,6.368583,-2.2633972,6.328437,-1.8666009,-0.0890643,-0.8927636,2.0534878,-6.700387
7.5123158,-7.7506037,-6.0207224,-4.3902526,-6.6874723,-3.4415128,3.173712,9.562944,1.0345322,-4.9942036,2.080299,-7.5595036,2.5468209,4.658905,-7.4102173,-1.833917,7.8437676,-6.3103395,6.9190845,-5.2415743,-10.324501,-0.10622978,2.7604613,1.2022867,0.8348068,-7.0159545,-12.318445,-4.1897783,-3.0048244,0.94849974,3.105919,-3.748807,-0.73062766,-1.7848822,-0.22012962,-6.989361,6.126424,-4.0315294,-2.8699298,-8.44503,-8.067777,6.4430757,-2.3706458,-11.219474,2.5831838,-6.791452,-1.8219655,8.019662,3.7601078,6.08037
5.7726703,-4.2372437,22.250435,7.4525294,-8.302222,12.812196,5.948541,-0.110721186,-7.1262884,4.576268,2.4039478,1.9865324,7.627972,11.591699,-5.379884,7.5924263,-1.7118139,1.4371835,-14.597725,1.9408925,-4.275022,-4.4009547,19.15692,-1.4943143,0.888464,-1.7567238,-0.80886626,0.21625595,-1.0269248,-17.306356,-2.295424,-11.023484,-4.1387305,9.94183,-5.8598847,6.945225,4.292821,4.003154,7.778327,2.6375728,3.6936347,5.3812237,-9.705078,0.8102646,-6.648457,1.2242888,5.4445505,-1.5643575,2.7430596,2.44559
