0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
18.395302,-131.94798,79.1582,-43.42861,56.607815,-59.2296,84.639786,-50.706627,-86.18819,-32.636986,-47.04192,33.80932,24.37235,-16.275017,-26.552362,1.4677743,-2.106536,-3.3915012,-13.121326,4.952613,42.7367,4.074313,-2.6354208,-27.706371,14.832518,-5.9506536,-21.867159,-35.44198,16.230648,15.846325,14.415157,-16.045208,-21.097095,-2.0389202,20.260592,-29.612156,-9.371571,6.103694,-32.732246,-11.19292,13.648672,-9.579881,-3.686379,25.727203,9.161691,-20.871784,-11.026359,-6.1096015,-33.37625,-14.770526
-40.01978,-72.49127,-139.71568,-54.461525,-31.530743,36.32463,2.4547746,-20.875078,-68.39794,-29.486212,22.821161,-13.816233,41.750477,-13.199986,-7.8784885,-21.345703,-21.118769,31.14491,-2.7118292,1.1191984,13.575628,-24.377466,9.880545,57.31796,-1.7057788,-32.093388,23.64212,-26.069012,-7.8912144,-6.2990646,-21.323753,-13.226036,11.218541,-12.4130945,0.40057263,1.2081103,8.772593,-2.5205512,-24.681059,4.6699824,-47.263184,-20.30442,-8.977424,10.59867,-3.338633,1.5964224,3.2737908,0.74664044,-8.348145,-15.796887
-93.449165,-1.2694575,-122.989494,29.408495,50.53141,21.97048,-7.669288,6.9975977,-11.335889,-51.287323,-17.214386,1.7048141,-12.0302105,-18.680672,3.2734666,2.0559537,10.85298,-12.563348,5.290937,-28.434118,14.644409,-10.7262945,16.628038,4.1991396,8.838076,-6.855008,37.177357,13.17043,2.1667967,6.272433,35.17297,13.453518,-11.383109,12.860933,-7.231725,-18.136477,1.8830291,0.98585343,13.798268,4.9076443,5.764935,2.0709102,-10.288495,3.6482542,-11.875534,7.228034,-0.39362928,5.3376513,7.1289406,0.46535963
-82.97577,20.076832,-49.84872,63.225838,2.8703232,39.209335,9.871261,14.082052,-26.547739,-17.679447,-18.551773,2.061614,12.831693,2.6243107,16.190722,4.9032364,4.0287023,-7.7189465,17.515457,14.251757,1.9964134,-7.5221405,4.0260386,-9.61013,21.439905,8.909018,-15.085115,4.9802566,-8.905613,-0.062366236,10.587054,-12.792765,-0.5205386,7.8431897,27.67137,7.2885003,8.407366,3.2436922,13.154456,9.8106785,-2.6144893,-5.771478,2.7082756,10.99027,-12.252215,12.922555,-5.176374,-4.452404,-3.734991,-13.111875
-43.65498,7.934203,44.51502,-68.96276,6.6132555,-15.188004,-6.272566,-11.062629,-7.1116967,5.497635,44.10736,6.225937,8.2283535,-3.691744,34.145653,22.219498,3.119277,-12.098191,-3.2352934,-18.829958,-6.7682767,-1.008863,-6.4648805,12.483501,1.5618936,2.0828786,7.5287986,-8.974722,-5.94628,-6.007039,-17.183784,8.141791,1.5421493,10.665043,-8.526325,-14.692785,4.5021563,6.8627663,-8.955209,-1.5964657,-11.846606,-3.6680782,-0.9335264,9.489398,7.3790154,1.3500211,-11.387713,-1.5302166,8.08595,0.45733818
-39.690186,-11.70974,-16.884325,21.95148,-68.02242,14.413526,41.420963,-10.529714,-12.333835,0.21531506,-16.129042,14.572807,-11.192525,-13.129704,1.282102,-14.834765,-5.921839,-1.8346477,8.071517,17.193455,-15.427874,-16.91816,-12.603643,-9.728152,-28.604465,20.515427,12.942661,8.038365,0.6294316,-22.889948,-10.538855,11.317574,-10.034331,-20.536861,-3.611753,3.6756027,7.231766,-26.77353,12.5750675,0.75541353,-19.295588,-0.85436875,14.248039,-3.3256674,17.1289,-7.8492985,-6.217271,-0.40832713,5.017229,12.579092
-104.094154,110.446205,61.704353,19.452114,7.975189,42.408417,-2.378467,30.919441,-8.375126,-44.21742,17.300055,9.551867,-6.659938,-12.326348,-3.6515086,-9.3368635,1.3821409,7.220997,-2.1554124,18.124775,0.48299408,-17.661472,14.218864,-9.6005125,12.070678,2.9925365,-11.259056,23.229744,-4.02948,-19.209661,16.04924,3.3874938,-17.207954,14.654433,7.7676334,8.432166,-1.6608317,-3.8627384,3.1245377,-9.972927,-8.932957,1.7291384,-6.424913,-11.117146,10.3888445,2.7212176,0.3215335,10.216015,-4.682098,8.583182
413.45303,115.9692,-3.1134908,51.140762,45.926483,-11.487534,-22.847527,-30.824669,-6.0914702,-42.01633,21.626595,30.84305,-17.55587,-0.2480742,-16.607449,-22.399027,14.630053,-19.837261,0.759353,-1.7027382,24.25382,33.783573,-82.268364,18.47445,-9.239895,41.349125,29.98821,9.195708,-17.30951,-12.528808,-4.0704875,-16.248932,-28.918333,5.720011,-27.457018,57.106983,29.957403,27.569084,-12.4121275,-52.991882,-7.7022953,-50.526875,34.008564,-49.414707,-25.203554,-18.631624,-34.6278,-20.769182,-21.965128,3.4890916
-3.6788716,61.268734,96.93726,-76.6961,40.749424,-27.951736,59.814632,24.889536,-10.038892,38.89734,31.724834,-32.517693,20.426004,51.722027,5.6067004,18.53306,14.301647,-26.669357,31.531746,13.816251,-12.887224,-6.7665854,13.550432,-21.645119,10.816589,20.344378,9.338429,-19.327797,-3.7146735,-17.79074,-0.3284317,-19.491112,-15.417464,-7.2328377,9.952025,12.549978,9.204685,8.081769,16.716469,-12.9301195,-5.5496426,2.078154,3.464831,10.869961,24.893976,-0.4234004,-2.945591,-10.916941,5.201261,-1.1807008
-101.82153,55.90604,47.637955,72.169044,-32.249508,-18.770927,10.860487,-6.3860283,-4.8440332,11.363066,-16.985497,-7.8345127,26.24662,38.236336,5.8173027,20.308634,-1.5378454,-0.72456396,-1.1476103,-12.382998,1.7375358,21.64093,-11.27888,21.023676,2.4876912,-5.933241,3.648374,-14.459933,3.648215,6.8474483,15.296771,-21.96497,14.307619,-1.8344872,-19.838669,-17.784666,7.2798676,9.236143,11.019251,3.9081423,10.196333,0.6882281,9.613781,-20.110474,-11.841733,6.114001,8.085476,13.579278,-13.376988,1.2682433
