0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.016152658,-0.017972112,0.012966017,0.010278916,0.007450534,-0.003947402,-0.00041986906,-0.003837585,-0.0069376533,-0.01616108,-0.0058382666,-0.004814461,0.0005145466,0.015626965,0.013122799
0.017842088,-0.00083968294,-0.015149838,-0.020525612,-0.007560798,-0.014772572,0.020264568,-0.0026775582,-0.025250074,-0.0078386525,0.013558645,-0.0046459874,-0.007043225,0.0058295834,-0.02093877
0.016914317,-0.009300833,-0.0036446021,-0.014275367,-0.022317428,0.017727643,0.0005319794,0.017452871,0.02517602,-0.0012605935,-0.016487278,-0.002620997,0.013120208,-0.026348097,0.012061353
0.016633091,0.0014129288,-0.01584355,-0.017256789,0.0011361209,-0.019140579,0.011039797,-0.012450181,-0.021761157,-0.00056792755,0.0023297193,0.0007119518,-0.018999089,-0.0060561807,-0.011295346
0.017590161,-0.019433085,0.013799508,0.010531488,0.0066197766,-0.0012802293,-0.0061612674,-0.009819939,-0.014446184,-0.02247559,-0.0034053773,-0.007713856,0.0091067115,0.012687735,0.01725868
0.020262823,-0.024281608,0.019814884,0.0192532,0.02130982,-0.024988381,0.031048577,0.021357749,0.01662174,0.03382816,0.018092392,0.006389665,0.021679731,-0.043426797,-0.0032642044
0.014943987,0.0076891175,-0.016050925,-0.0035816033,0.020790465,-0.008577736,-0.018064486,-0.005183094,0.017599765,0.0056754826,-0.011041476,-0.0042713527,0.014642867,0.0011586805,0.006461005
0.018809482,0.047541805,0.074486315,-0.0553105,0.026790718,0.010264934,-0.004005505,0.020060752,-0.02806623,0.012245428,-0.03202917,0.040224515,0.03306628,0.019596176,-0.0247252
0.016982224,0.0034010187,-0.017292699,-0.014960463,0.008523659,-0.021159975,0.001569802,-0.017746275,-0.012396156,0.005825106,-0.008917099,0.0030328163,-0.0184329,-0.015149488,0.0034815336
0.01718495,-0.0037014296,-0.011612838,-0.020179529,-0.01608274,-0.0033642335,0.021373691,0.011519674,-0.010121807,-0.011998891,0.011740601,-0.009243788,0.015797699,0.0066004884,-0.008787549
0.016653439,0.00078930054,-0.01519274,-0.017485064,-0.0012727457,-0.017024005,0.012861404,-0.00939219,-0.02107087,-0.0028434822,0.005390674,0.0013163044,-0.01623547,-0.00047152347,-0.012694572
0.01693589,0.003351696,-0.017178103,-0.014911046,0.008309098,-0.021014163,0.0016775279,-0.017788569,-0.0124285985,0.0058641406,-0.008506045,0.0039400365,-0.019105678,-0.014400157,0.0039706132
0.019126462,-0.009399109,-0.0054572895,-0.016691763,-0.023197792,0.015621124,0.004201017,0.01816915,0.022036556,-0.0047810697,-0.015443062,-0.0040759654,0.012541496,-0.021555895,0.009818526
0.017294936,0.004969599,-0.018236743,-0.012712668,0.01404792,-0.0209147,-0.0062782923,-0.019100465,-0.0025263147,0.009749615,-0.01573417,0.0032502906,-0.0119032,-0.01744574,0.013704255
0.016009297,0.009072283,-0.017051443,-0.0017747228,0.023460815,-0.005587232,-0.020468818,-0.0007262828,0.0205099,0.0033116022,-0.007527832,-0.0072549265,0.019032761,0.0067558275,-0.00019076446
0.018807251,-0.021603229,0.016412424,0.014145764,0.012199773,-0.009184067,0.004167844,-0.0032620626,-0.011221671,-0.008457344,0.009163449,-0.0063870237,0.028324967,-0.0075371107,0.024433915
0.016838465,-0.01201198,0.0011176061,-0.007927501,-0.017010134,0.02112688,-0.020385377,-0.0067789736,0.005113586,0.04091365,0.019891638,0.01198527,-0.00980799,0.006846091,-0.003281702
0.016008759,-0.012887835,0.0035015843,-0.0045529744,-0.014052172,0.02076733,-0.023521338,-0.010435475,0.002067524,0.027417887,0.010621173,0.009593426,-0.013010358,-0.009868154,-0.02223906
0.01699991,-0.0035933536,-0.011547762,-0.019872867,-0.015463495,-0.0035872061,0.020178828,0.00989402,-0.011197148,-0.007143096,0.014757522,-0.008084715,0.013958096,0.01150686,-0.0052044187
0.01821016,-0.016355248,0.0069912137,-0.0009865275,-0.0115089165,0.021500742,-0.029819556,-0.018440008,-0.007439831,0.014206953,0.007669442,0.006218552,-0.011749198,-0.020091588,-0.037329163
0.01825927,-0.021730362,0.017597385,0.017017178,0.01901935,-0.023342373,0.031813335,0.025467243,0.026986467,0.035780285,0.0026586682,0.012130489,-0.023895198,-0.009280214,-0.037005328
0.015973292,-0.015526777,0.008344125,0.002537318,-0.0054805405,0.014544823,-0.024541525,-0.019083949,-0.014505312,0.0010994015,0.0076236166,0.000900468,-0.00096828974,-0.013629635,-0.024188392
0.018233411,0.004974079,-0.019106697,-0.013832266,0.013897883,-0.022216469,-0.005398473,-0.020242905,-0.004347904,0.010160792,-0.015506193,0.0037789731,-0.014088615,-0.018060338,0.013768425
0.01586448,-0.01882007,0.015165318,0.014561057,0.016096573,-0.01954235,0.026424507,0.021057205,0.02229198,0.029228618,0.0018302201,0.009993469,-0.020486904,-0.0066309823,-0.030754548
0.017703261,0.028689926,0.010386779,0.023548892,-0.030513631,-0.020899208,-0.0026074809,-0.0176009,0.02998051,-0.023214467,0.035745777,0.011841708,-0.007969678,-0.00980424,0.0071812863
0.017218987,-0.010951171,-0.000955992,-0.0103937,-0.018149907,0.0186225,-0.013097538,-0.0003801581,0.008781182,0.035593405,0.016398985,0.009116636,-0.0036473274,0.014055428,0.013620122
0.01784665,0.03675978,0.036136393,-0.00070551527,-0.027606288,-0.042855736,-0.041556038,0.042053673,-0.01619301,0.00071356026,0.0055558574,-0.017012732,-0.0238572,-0.017478554,0.024570256
0.017309442,0.016150106,-0.014873678,0.015280908,0.022460017,0.026136212,-0.0063479976,0.031488486,-0.008940903,-0.0067772698,0.019804608,-0.020831406,-0.011049996,0.0056240684,-0.014563542
0.017073065,0.027416535,0.0075919465,0.027228942,-0.03033791,-0.011518182,0.0115520945,-0.030056512,0.015795197,0.015912222,-0.017857995,-0.039996576,0.019685445,0.028677879,-0.036467325
0.0173968,0.025669243,0.001976874,0.02911508,-0.022470409,0.0032271524,0.022784637,-0.03227405,0.005767913,0.015499634,-0.026467735,-0.0027601211,0.028280403,0.021311289,-0.023589643
0.016432613,-0.014374655,0.0057519246,-0.0013703178,-0.00991966,0.016110856,-0.018180976,-0.0074564335,0.0022014594,-0.0056111943,-0.012333993,0.0012503213,-0.01311082,-0.013876339,-0.018710623
0.018624939,-0.0031020483,-0.013687675,-0.022200955,-0.015167811,-0.007549582,0.02431676,0.008692137,-0.017539384,-0.013192099,0.015182326,-0.00990292,0.011635441,0.007971468,-0.01636879
0.01841116,0.019986033,-0.012566858,0.02326622,0.014671499,0.0351585,0.009993532,0.027147269,-0.029882282,0.002795721,0.0060142307,-0.011650571,-0.027837174,-0.017734466,0.017116204
0.01727442,-0.02019591,0.015914863,0.014795248,0.015527244,-0.017820194,0.022921288,0.017437842,0.017482575,0.018075455,-0.0018093697,0.006665557,-0.017257052,0.0032291922,-0.015441735
0.016697478,-0.019047802,0.0143320225,0.012208383,0.010423103,-0.008079167,0.004846235,-0.0005857352,-0.005413368,-0.009261376,0.00022023439,-0.004220815,0.009005842,0.00692053,0.0154229775
0.017577441,0.025521457,0.00071125675,0.030045338,-0.020691331,0.0076744193,0.026223913,-0.03195063,-9.813843e-05,0.019903252,-0.033423476,-0.0016012274,0.028820015,0.019305838,-0.019309158
