0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
22.507603,76.89593,18.13024,5.392545,35.958847,29.283417,2.1499572,18.526333,8.33711,-6.8366055,3.753985,-28.066217,10.331831,2.6187193,9.194446,17.465975,26.485125,15.791174,27.429516,-0.123052955,-1.2507323,10.709438,-11.138879,27.845266,18.074726,10.683252,-8.719713,-10.215052,1.0204858,-11.587082,-7.562135,7.937585,-1.1502893,-17.245277,-24.671732,-34.358784,8.739658,-18.566914,2.1148918,24.153988,-4.4294734,2.6870062,1.3614119,17.880207,-3.5664597,17.031332,11.530424,1.7549622,-3.6134434,13.310675
56.61253,-19.289469,-1.854354,6.8562045,-3.516296,3.6178122,-0.084770806,2.5802963,1.2008703,2.4379244,-4.024957,0.97618324,-0.03952357,-0.7973576,0.37354514,-0.17440964,-1.5533903,0.73459256,-1.5361627,-0.26088253,3.0394597,-2.5345452,2.7833474,-0.6008298,1.5501556,3.5552888,0.16933984,-1.3947706,-4.774062,-0.3092653,-2.2224584,-0.56901145,-3.5693924,-2.4448981,6.314599,2.6101613,-2.0797493,0.03911189,2.9163203,2.029566,-1.3505632,3.3631892,-0.4862802,3.66358,-0.5301165,2.0105836,1.4420594,-0.0027409792,-4.007816,5.590308
-32.955536,4.409387,-2.8102057,-0.005317579,-0.87903696,-0.7396984,0.038800117,-1.4148161,-0.13965744,0.74394643,0.83054686,-1.2610544,0.826779,-0.1362877,-0.39901063,-2.1958776,-0.14063188,-0.7735218,0.98584485,0.17692265,-0.7604488,-1.4315321,0.31265882,-0.61090535,0.7964843,0.45236492,1.6819776,0.15804917,0.39640293,0.409558,-0.7535489,-0.104900524,0.31542954,0.56471276,0.8767396,2.3019614,-0.09478254,0.52763146,-0.7558872,0.06790465,2.3607154,0.29668742,0.16100723,-1.7734582,-0.646234,-0.4069261,-0.4576197,-0.4126036,-2.7459471,-0.4631163
-31.33815,-4.5186872,1.133319,3.7168477,-1.7251823,-1.1479399,0.007335144,-1.4538847,-0.21502848,2.204781,-1.0857637,0.87959534,-0.80083615,-1.6096793,-1.0466954,-0.61072713,-0.8802734,-0.21736762,-0.77026623,2.8157513,-1.8718524,0.89582187,-0.54460996,-3.1861172,-2.0563617,0.4868413,1.2772619,0.73969024,1.4728484,-1.5797436,-0.26509458,0.10769331,-1.6363163,1.4736842,-0.74664897,-0.53523517,0.31855372,4.3062735,0.13323872,1.4492823,1.1746484,1.2341502,2.168971,1.0576957,-0.66557693,-0.330164,-0.5670544,0.18010256,-0.6281062,-0.20612204
-24.947222,-0.72462934,-1.5171704,2.456974,-3.5152924,-1.9606493,1.5876081,-0.0234236,1.0726075,-0.8953355,-0.975435,0.82371396,-1.8161429,2.0347838,-0.59354323,-0.14659645,-1.048961,-1.2972133,-0.32396528,1.1754713,0.32499492,-0.26364952,0.90236986,-1.3675286,-1.1617303,0.14701599,0.39296845,0.543933,0.8247865,-1.2704327,0.102105595,-0.9494983,-0.6793431,0.9779044,0.14371096,2.0840347,0.47585618,1.229581,-0.64822245,-1.0579909,-0.65400505,-1.3812642,1.3500557,-0.20082274,-0.20213638,-1.9775305,-1.084688,1.4514767,1.3309609,-0.63136625
27.0373,4.173898,-12.488196,-11.422752,1.2249455,-1.9590582,0.5925317,-0.52360845,-0.13621922,0.9832237,-2.1796553,-0.58854485,-0.06385525,-3.582811,-0.52942413,3.2729015,5.032183,-2.7744093,1.6122562,-0.60994047,1.8708141,-3.2612848,0.24804781,5.9683204,-0.25104812,1.0875947,2.497543,-4.909668,0.730221,1.5218041,0.0014451459,2.9169152,2.642318,-0.05848193,0.888665,-1.3296278,-1.9258258,-0.45581415,-6.8960614,-0.26761726,2.6939516,1.3176907,0.7238815,-1.5244465,2.7081027,-0.98449713,2.682655,4.0816607,1.2303791,-2.3289175
16.363184,-12.687652,-0.6114833,4.0375023,-1.2847086,0.3395576,2.2505062,-0.43491483,-1.3257087,1.0385075,-1.6444689,0.8159292,-2.1657164,-0.42639974,-0.11990627,0.7320601,0.15869503,-1.172328,-0.54489803,-0.17098254,0.31455502,-0.25776112,1.5528938,-1.6051952,1.0133852,-0.1837913,-1.2502289,-1.9432956,-0.9360247,-0.08325352,1.9367127,-1.2536677,0.034533054,-0.96088946,2.0143,1.3351635,-1.1141219,-0.046060972,-0.9635404,-0.6663057,0.2556733,0.21307184,-1.1430664,0.7313129,0.08713453,0.30991113,0.7681716,0.6550862,1.9677632,-0.14852695
53.097427,-27.299934,11.12126,7.7144337,0.5675378,3.5500016,-1.2641233,-0.609924,-0.97128135,-4.5040374,0.5038349,1.9890634,-0.05711802,2.854436,-3.9012814,0.56914264,0.837693,2.7154639,2.7142916,-1.2104846,1.9399368,-2.5053613,1.7143354,0.834579,0.22973995,-2.1353803,-0.48013175,0.44035774,-0.995586,0.38482264,-3.4400563,-2.9506013,-0.21142446,-0.630435,1.7260575,-1.6850618,-1.5665807,-2.6959236,0.83425593,1.039999,-0.9091437,4.7447653,-0.13725108,-0.29333344,1.8328518,1.6000047,-1.0447029,-2.7568524,1.6057389,1.8186858
-33.938633,0.9934795,-3.9818025,-0.30507392,-0.43087327,-1.4135212,0.27731684,-0.6031155,0.6723853,0.22159016,-0.1726478,-1.2679062,-0.3405448,-1.3637159,0.94340503,-0.55427504,-0.53103006,-0.25329694,-1.3025442,-0.32836816,-0.43489543,0.7126885,0.6496887,-0.48701334,1.0429636,-0.66537565,1.1836619,-0.83264583,0.87125516,0.0037988364,0.14249139,0.23340613,0.18695363,1.7631865,1.6584367,1.7727251,-0.07755296,0.38293266,-1.1987238,-1.8855343,1.7854012,-0.17029944,0.2665584,-1.595505,-0.41040316,-0.92693335,0.85942227,-0.6094532,1.5989705,-0.6741697
140.30019,-31.61328,-3.1494381,1.7460858,-2.7344596,6.603478,2.8112056,-8.4509535,-8.777836,-8.020491,6.739825,5.428612,-0.70069754,10.112963,-5.343106,-12.165313,-11.882874,10.771344,4.137223,-2.641794,1.2392095,-9.136974,9.842958,-6.736481,-0.8720892,8.461097,0.07844033,-3.2261138,-25.04626,21.211313,-1.8771651,-5.519013,11.702265,1.3797823,12.946611,3.678603,-25.22765,-31.14605,-3.8508832,-32.30626,-26.455177,-5.07062,1.5294638,15.93669,-23.45456,42.88215,-11.74857,12.525659,-69.10359,104.47696
