Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-dbscan,ARI-spectral
seurat + pca,0.9134034544141905,0.0912458228604991,0.033325177036754056,0.0,0.04722996562870675
seurat + tsne,0.6199822782635376,0.028615530167027597,0.013938882184308015,0.0,0.0343377818807821
seurat + umap,0.591711475042295,0.022650985614264013,0.017411131348578315,0.44947115140833244,0.047662875593592696
seurat + diffmap,0.584952332613931,-0.025090481342972717,-0.006110254083689768,0.0,-0.006236373107621457
log_normalization + pca,0.9909362847591091,0.004136037356570998,-0.02012125314514823,0.0,0.01089253362046986
log_normalization + tsne,0.515749319021365,-0.04370217783776717,-0.00567097681586006,0.29211366294094815,0.05294003760480136
log_normalization + umap,0.5668972068316769,0.03399164385645472,0.0044597978359387,0.2008006398003854,0.009619943912833996
log_normalization + diffmap,0.827561702061719,0.047823987393700404,-0.04622356392284923,0.0,0.10102084787961921
scale + pca,0.9856847293483405,-0.06363103994142173,-0.07891455463812938,0.0,0.008548940639326728
scale + tsne,0.5662630330893199,-0.0013832418932593568,-0.00831554074703236,0.0,0.16325178137245486
scale + umap,0.568006659060488,-0.011811430893292634,0.006955642772490496,-0.0023391676960673024,0.011034531002117208
scale + diffmap,0.9702167045986972,0.10193596579602295,0.32561944752307276,0.0,0.0156640672668356
