Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-dbscan,ARI-spectral
seurat + pca,0.9976763304884002,0.031480437710318,0.07333351321386396,0.0,0.31147117475958924
seurat + tsne,0.5823139662054905,0.13673774659978843,0.07984240997554752,0.046875474413249914,0.24081892255072707
seurat + umap,0.5626156364784269,0.0883926533036858,0.01881099891633344,0.0,0.06922445974891124
seurat + diffmap,0.8290028631941413,0.08268021965863213,0.051707782847941725,0.0,0.07049100314705228
log_normalization + pca,0.9988617962563153,0.7725880177507202,0.3303758670199486,0.0,0.7687549685548881
log_normalization + tsne,0.5388340731745692,0.17077565545252207,0.2688978322294745,0.025847328646220656,0.24751093091307994
log_normalization + umap,0.5275555861742833,0.1324120620586849,0.10381935519893204,0.0,0.14972123433831086
log_normalization + diffmap,0.9359941608021355,0.024060043972049527,0.06706154634233381,0.0024335688204659973,0.5451828177450238
scale + pca,1.0,0.7861360687532171,0.7390376862980673,0.0,0.7352939662138578
scale + tsne,0.5429910161216471,0.2900799205575005,0.1568620589431942,0.16395396913397475,0.121176936698814
scale + umap,0.530111866851113,0.0070573828539887565,0.0036830751248157607,0.0,-0.0012112235059704927
scale + diffmap,0.8808400462039644,0.0016884475738380448,0.0016884475738380448,0.004962110181755409,0.06577757430214808
