Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral,ARI-ap_clust
tmm+pca,0.9753814717745982,0.17711760108504243,0.12956330143031722,0.17835882161548622,0.0
tmm+tsne,0.5934227768159522,0.17614184628650256,0.17528002590760425,0.2456344411965043,0.0
tmm+umap,0.5356875284916428,0.1798530576975633,0.1370864669309189,0.1412379989163085,0.03729800611537337
tmm+diffmap,0.6170961260787218,0.27669787236658006,0.10747073719718751,0.13007029905527026,0.022140989416626344
seurat+pca,0.9771905378935988,0.1582983077041655,0.17121430528148895,0.2965801881476318,0.04159812925270121
seurat+tsne,0.5982475349334797,0.1733410752620755,0.2315252499989343,0.31482685000627164,0.050824596423232754
seurat+umap,0.5450688419845982,0.21375714242226254,0.1572481798498048,0.16999312190393723,0.03605153230957711
seurat+diffmap,0.8148154083691799,-0.020335375085786762,0.1704182573198122,0.1526360940509141,0.0
log_normalization+pca,1.0,0.5621717301712459,0.26802357373566676,0.7747685735356726,0.6815311729342839
log_normalization+tsne,0.5696447647132801,0.32828081707419693,0.32933482401770064,0.1614065408646265,0.2072655659122066
log_normalization+umap,0.5482554520092342,0.09383907611487949,0.20057231273854337,0.26581429883899305,0.0
log_normalization+diffmap,0.9353214821755573,0.19585919264642784,0.5116501833217333,0.7654988882606177,0.054445045791153404
scale+pca,0.9975360508513277,0.5836181253847873,0.4898600200128979,0.5630024851557994,0.2610214915143884
scale+tsne,0.6405665479444198,0.28688431398775716,0.30578027605219793,0.5195552912666066,0.0601691365391532
scale+umap,0.5457491932705474,0.0014748945266650608,0.0013875550173926589,0.00036909179109254504,0.0
scale+diffmap,0.934461321823423,0.0005720471171828058,0.003322284450708669,0.02716007470455393,0.037946421500754814
