Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral,ARI-ap_clust
tmm+pca,0.9931815492563657,0.2262220040178176,0.17835144000494532,0.9235055002061263,-0.1246004702176916
tmm+tsne,0.5739934168392512,0.4770044489689585,0.2364986391313004,0.24171320597179238,0.04196361087230701
tmm+umap,0.5777360302568908,0.4463165945096534,0.1938147687745808,0.7477841946417387,0.0
tmm+diffmap,0.676333508892719,0.4216172462224096,0.25048800103092583,0.7310724959700756,0.043494718665138536
seurat+pca,0.999745365056879,0.4650035502338912,0.4596237644417553,0.42858380121511613,0.33367278997098543
seurat+tsne,0.5840545949156172,0.46906103987404774,0.3814585369548208,0.37157970282561975,0.09412964352023143
seurat+umap,0.5652029255594389,0.5342660833360886,0.3449427071144479,0.8334426334879779,0.048747131860202055
seurat+diffmap,0.7562374800949391,-0.03525777558823983,-0.036060557879473674,0.6555549398920558,0.05371013809931584
log_normalization+pca,0.999735924567831,0.5247779279687655,0.4016939376157386,0.9348225475443639,0.0
log_normalization+tsne,0.6182669916089827,0.46410789971785604,0.23557966663245997,0.1321008893955277,0.0
log_normalization+umap,0.5523300976666399,0.23248585082049944,0.18620349381987714,0.31996615944142115,0.25262788347043474
log_normalization+diffmap,0.8490541313502186,0.5351913840483771,0.23711558615500553,0.9171333025636116,0.09328207245344028
scale+pca,0.9895852987231173,0.16707462210551263,0.23017804169958322,0.912216299893725,-0.05119707984596979
scale+tsne,0.6339971287422048,0.23382602071481426,0.27862941752799836,0.059133584693277196,0.23801588779720606
scale+umap,0.5316158360715162,-0.0016389260295203171,-0.0017665805178208053,-0.0006885002566349905,-2.1037084766730343e-05
scale+diffmap,0.9446582284778863,-0.001231843652181031,-0.000267809204676942,0.043746571092425135,0.18010741464824603
