Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral
log+diffmap,0.9351516116791749,0.024060043972049527,0.28814373380934943,0.5455120359313197
log+pca,0.9988306794799097,0.7725880177507202,0.43743112838401893,0.768754968554888
log+tsne,0.5409780666237659,0.38034776476584037,0.23089920646703285,0.1986584813614348
log+umap,0.546109944035828,0.0733745361387968,0.11248513003283053,0.12839356495967189
scale+diffmap,0.8786547342839944,0.0016884475738380448,0.004257028407936148,0.06567099000188069
scale+pca,1.0,0.7861360687532171,0.5170902773812309,0.7352939662138579
scale+tsne,0.5514855678985545,0.29134856734320513,0.25531457813954594,0.23453784639710962
scale+umap,0.5447584750433533,-0.00038230539627843817,0.0016969104671281637,0.0005556293403111351
total+diffmap,0.8283458576746622,0.08268021965863212,0.04417469384695199,0.07049100314705228
total+pca,0.9976038722835971,0.031480437710318,0.07469510946502111,0.31148571974052464
total+tsne,0.5863050941937132,0.15412175422015648,0.08011735492843795,0.13458619776469902
total+umap,0.5492486213778855,0.09362709017251404,0.04251239402476673,0.07071711492498745
tmm+diffmap,0.617980028865236,0.3161074416450022,0.03558064069172792,-0.03270055295880642
tmm+pca,0.988325423997146,-0.06444678777277411,0.09590331289535067,0.15242100014078017
tmm+tsne,0.6270903905456169,0.13574897033462346,0.06100870685816464,0.16588552652986338
tmm+umap,0.60058111036341,0.11723396079975126,0.08295923403024749,0.12583882718409203
