Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral
log+diffmap,0.9356594606904004,0.19585919264642782,0.33587381737352123,0.7644287987469883
log+pca,1.0,0.5621717301712459,0.4051566403221662,0.7747685735356726
log+tsne,0.5563733898996848,0.32828081707419693,0.3504136086072671,0.33006997014930406
log+umap,0.540629990356916,0.09383907611487949,0.14522406729790543,0.2656626025347976
scale+diffmap,0.934053130137253,0.0005720471171828058,0.0036365478629620694,0.02719307157235852
scale+pca,0.9978078163956945,0.5836181253847873,0.4055577935777275,0.5630024851557994
scale+tsne,0.6107091021527048,0.28688431398775716,0.33249896835392184,0.16892797988325065
scale+umap,0.5325700182623566,0.0014748945266650606,0.0021365525587791916,0.00035817157930945003
total+diffmap,0.8120464848293006,-0.020335375085786766,0.08849219550986956,0.1526019701749503
total+pca,0.9765349167434515,0.1582983077041655,0.17868262767169324,0.29694154997335087
total+tsne,0.592088389313431,0.1733410752620755,0.24026274192847505,0.2509021268312237
total+umap,0.550169358723298,0.21375714242226254,0.13818994049287914,0.16999312190393723
tmm+diffmap,0.6151759216256901,0.27669787236658006,0.08166310921524218,0.13007029905527026
tmm+pca,0.9759025491915494,0.17711760108504243,0.13070301360772035,0.17846467936162402
tmm+tsne,0.6180991606666183,0.17614184628650256,0.1753916771632667,0.24560501437469542
tmm+umap,0.5653918074264537,0.1798530576975633,0.13855291542263548,0.14107717988055418
